Node name,Calls,Average per call,Total time,%Time
".\src\game/module/g",2,0,0,0
showExitView,1,0,0.000000,0
stopAllActions,1,0,0.000000,0
"addEventListenerWit",3,0,0,0
centerCurrentCity,1,0,0.000000,0
getNewIni,6,0,0,0
getCfgByKey,2,0,0,0
getPositionX,34,0,0,0
setMusicVol,1,0,0.000000,0
isVisible,1,0,0.000000,0
".\src\game/module/s",1,0,0.000000,0
floor,1,0,0.000000,0
pAdd,4,0,0,0
Ap,164,0,0,0
size,67,0,0,0
getn,1,0,0.000000,0
leftCenter,26,0,0,0
initYun,1,0,0.000000,0
newCCCheckBox,3,0,0,0
setDelegate,1,0,0.000000,0
setEfficeVol,1,0,0.000000,0
setZoomScale,1,0,0.000000,0
finishMeasureByName,3,0,0,0
remove,2,0,0,0
isObjectExists,1,0,0.000000,0
initWithCfg,2,0,0,0
getMaxAp,1,0,0.000000,0
getProps,31,0,0,0
rightTop,18,0,0,0
convertToDate,16,0,0,0
dispatchEvent,132,0,0,0
getNewCsv,4,0,0,0
refreshAp,1,0,0.000000,0
setHadCityNum,1,0,0.000000,0
onEnterGameClicked,1,0,0.000000,0
wakeupNavigationM,1,0,0.000000,0
retain,3,0,0,0
setClippingToBounds,1,0,0.000000,0
load,7,0,0,0
getCurAp,4,0,0,0
"removeUnusedSpriteF",2,0,0,0
swallowTouches,1,0,0.000000,0
exists,7,0,0,0
setScale,2,0,0,0
cityIds,1,0,0.000000,0
politicalIds,1,0,0.000000,0
adapterCCScrollView,1,0,0.000000,0
getGoldNum,4,0,0,0
getSkillIds,1,0,0.000000,0
setmetatableindex_,4,0,0,0
leftTop,12,0,0,0
setpeer,4,0,0,0
difftime,1,0,0.000000,0
time,20,0,0,0
checkRwState,15,0,0,0
removeChild,1,0,0.000000,0
find,458,0,0,0
onRemove,5,0,0,0
getCsv,31,0,0,0
set,61,0,0,0
setScaleX,1,0,0.000000,0
called from require,15,0,0,0
getEventDispatcher,4,0,0,0
cast,1,0,0.000000,0
addChildWithAction,1,0,0.000000,0
rect,58,0,0,0
"initMusicAndEffectV",1,0,0.000000,0
setMusicVolume,1,0,0.000000,0
addEventListener,343,0,0,0
setColor,14,0,0,0
require,19,0,0,0
setAnchorPoint,176,0,0,0
preloadMusic,3,0,0,0
setLoginTime,1,0,0.000000,0
parse,61,0,0,0
add,4,0,0,0
setGoldNum,4,0,0,0
adapterUILoadingBar,2,0,0,0
setMaxLengthEnabled,1,0,0.000000,0
adapterCCCheckBox,1,0,0.000000,0
performWithDelay,23,0,0,0
setEffectsVolume,1,0,0.000000,0
getStringForKey,2,0,0,0
removeMeasureByName,3,0,0,0
c3b,14,0,0,0
new,63,0,0,0
sub,128,0,0,0
onCHANGE_MODULE,4,0,0,0
endPreLoadingH,1,0,0.000000,0
fadeToDownLogo,1,0,0.000000,0
